Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1963","1963","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1964","1964","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1965","1965","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1966","1966","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1967","1967","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1968","1968","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1969","1969","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1970","1970","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1971","1971","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1972","1972","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1973","1973","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1974","1974","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1975","1975","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1976","1976","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1977","1977","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1978","1978","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1979","1979","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1980","1980","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1981","1981","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1982","1982","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1983","1983","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1984","1984","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1985","1985","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1986","1986","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1987","1987","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1988","1988","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1989","1989","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1990","1990","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1991","1991","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1992","1992","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1993","1993","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1994","1994","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1995","1995","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1996","1996","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1997","1997","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1998","1998","ha","","M","Data not available"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","1999","1999","ha","750","F","FAO estimate"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","2000","2000","ha","753","","Official data"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","2001","2001","ha","788","","Official data"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","2002","2002","ha","478","","Official data"
"QCL","Crops and livestock products","44","Colombia","5312","Area harvested","515","Apples","2003","2003","ha","470","","Official data"
